lease_id,property_id,property_name,asset_class,address,city,province,suite_unit,tenant_legal_name,tenant_dba,tenant_category,tenant_role,is_loblaw_banner,gla_sqft,lease_status,commencement_date,expiry_date,initial_term_years,base_rent_psf_year1,annual_base_rent_year1,monthly_base_rent_year1,rent_escalation_summary,rent_escalation_schedule,recovery_structure,additional_rent_psf_estimate,recovery_clause_text,percentage_rent_type,percentage_rent_breakpoint,percentage_rent_rate,percentage_rent_clause_text,renewal_options_count,renewal_option_years_each,renewal_clause_text,use_clause_text,exclusivity_type,exclusivity_clause_text,co_tenancy_type,co_tenancy_clause_text,radius_restriction_type,radius_restriction_clause_text,assignment_subletting_type,assignment_subletting_clause_text,early_termination_type,early_termination_clause_text,ti_allowance_summary,ti_allowance_clause_text,security_deposit_summary,security_deposit_clause_text,guarantor,anchor_tenant_at_property,lease_document_reference,abstracted_by,last_updated
CHP-LSE-00001,CHP-IND-1001,Vaughan Square,Industrial,"2336 Hurontario St, Vaughan, ON",Vaughan,ON,Anchor Premises,Gordon Food Service Inc.,Gordon Food Service,Food Distribution,Anchor,False,995922,Active,2011-08-20,2031-08-19,20,13.41,13355314.02,1112942.83,Annual fixed escalator of 3.57% per year,3.57% annual,Triple Net (NNN),$5.82/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, and Operating Costs (collectively 'Additional Rent'), payable in equal monthly installments based on Landlord's annual estimate, with reconciliation within 120 days of year end. Operating Costs exclude capital expenditures (except amortized over useful life), leasing commissions, and Landlord's income taxes. Tenant has audit rights once per Lease Year on 60 days notice.",None,,,No percentage rent.,3,5,"Tenant has 3 options to extend, each for a five (5) year term, at fair market rent (but not less than the rent payable in the final year of the prior Term). Notice required 9 months before expiry.","Operation of a foodservice distribution warehouse, including refrigerated and frozen storage, dry goods, and ancillary office and fleet operations.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),Premises delivered in as-is condition. No tenant improvement allowance.,Corporate guarantee,Lease guaranteed by parent entity. No security deposit.,Corporate covenant of Gordon Food Service or parent entity,N/A,CHP-LEGAL/CHP-IND-1001/00001-Lease-and-Amendments.pdf,AI-Auto-v3,2025-08-06
CHP-LSE-00002,CHP-IND-1002,Surrey Junction,Industrial,"538 Bayview Ave, Surrey, BC",Surrey,BC,Anchor Premises,Amazon Canada Fulfillment Inc.,Amazon Canada Fulfillment,Logistics,Anchor,False,980185,Active,2019-07-07,2039-07-06,20,12.3,12056275.5,1004689.62,Annual fixed escalator of 2.9% per year,2.9% annual,Triple Net (NNN),$7.06/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, and Operating Costs (collectively 'Additional Rent'), payable in equal monthly installments based on Landlord's annual estimate, with reconciliation within 120 days of year end. Operating Costs exclude capital expenditures (except amortized over useful life), leasing commissions, and Landlord's income taxes. Tenant has audit rights once per Lease Year on 60 days notice.",None,,,No percentage rent.,2,5,"Tenant has 2 options to extend, each for a five (5) year term, at fair market rent (but not less than the rent payable in the final year of the prior Term). Notice required 9 months before expiry.","Operation of a third-party logistics, parcel sortation, or freight cross-dock facility, including ancillary fleet parking and trailer storage.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$5/sf — $4,900,925.00 total","Landlord shall provide a Tenant Improvement Allowance of $5 per square foot of GLA (totaling $4,900,925.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.",Corporate guarantee,Lease guaranteed by parent entity. No security deposit.,Corporate covenant of Amazon Canada Fulfillment or parent entity,N/A,CHP-LEGAL/CHP-IND-1002/00002-Lease-and-Amendments.pdf,Legal Team,2025-04-27
CHP-LSE-00003,CHP-RET-1003,Montreal Power Centre,Retail,"6923 Boulevard Saint-Laurent, Montreal, QC",Montreal,QC,Anchor Premises,Maxi,Maxi,Grocery,Anchor,True,29847,Active,2024-01-11,2039-01-10,15,15.19,453375.93,37781.33,Stepped — 7.7% increase every 5 years,Year 6: $16.36/sf | Year 11: $17.62/sf | Year 16: $18.98/sf,Triple Net (NNN),$13.72/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",4.15% over natural breakpoint,"$10,925,000.00",4.15%,"Tenant shall pay percentage rent equal to 4.15% of Gross Sales in excess of the Breakpoint of $10,925,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",4,5,"Tenant has the right to extend the Term for 4 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Narrow — post-2024,"Landlord covenants that, for the first sixty (60) months of the Term, no other premises within the Shopping Centre (excluding any Pad and any premises of less than 4,000 sf) shall be leased to a full-service supermarket whose primary business is the sale of groceries. This restriction shall expire automatically on the fifth anniversary of the Commencement Date.",None,No co-tenancy provisions.,3 km radius restriction,"Tenant covenants that during the Term, neither Tenant nor any affiliate shall directly or indirectly operate, own, or have a financial interest in any other supermarket or grocery store within a 3 kilometre radius of the Premises (the 'Restricted Area'), provided that this restriction shall not apply to any store operating prior to the date hereof.",Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$25/sf — $746,175.00 total","Landlord shall provide a Tenant Improvement Allowance of $25 per square foot of GLA (totaling $746,175.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Maxi or parent entity,Maxi,CHP-LEGAL/CHP-RET-1003/00003-Lease-and-Amendments.pdf,AI-Auto-v3,2024-02-08
CHP-LSE-00004,CHP-RET-1003,Montreal Power Centre,Retail,"6923 Boulevard Saint-Laurent, Montreal, QC",Montreal,QC,Unit E23,Tim Hortons Inc.,Tim Hortons,QSR,CRU,False,3147,Active,2019-11-02,2029-11-01,10,69.37,218307.39,18192.28,Stepped — 8-12% bump every 5 years,Year 6: $75.23/sf | Year 11: $82.12/sf,Triple Net (NNN),$12.98/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",6.62% over natural breakpoint,"$3,298,000.00",6.62%,"Tenant shall pay percentage rent equal to 6.62% of Gross Sales in excess of the Breakpoint of $3,298,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",0,0,No renewal options.,"Operation of a quick-service restaurant for the sale of submarine sandwiches and salads, including drive-thru service where Building permits, and the sale of related beverages and ancillary food items.",None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),"Premises delivered in as-is, where-is condition. Tenant responsible for all leasehold improvements at its sole cost.","2 months (36,384.57)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 2 months Minimum Rent ($36,384.57), held without interest and applicable to the final months of the Term subject to no Tenant default.",Personal guarantee of principal(s) — limited to first 24 months of Term,Maxi,CHP-LEGAL/CHP-RET-1003/00004-Lease-and-Amendments.pdf,AI-Auto-v3 + Legal QA,2026-05-03
CHP-LSE-00005,CHP-RET-1003,Montreal Power Centre,Retail,"6923 Boulevard Saint-Laurent, Montreal, QC",Montreal,QC,Anchor Premises,Shoppers Drug Mart,Shoppers Drug Mart,Pharmacy,Anchor,True,11701,Expired,2009-07-08,2024-07-07,15,35.33,413396.33,34449.69,Stepped — 7.7% increase every 5 years,Year 6: $38.05/sf | Year 11: $40.98/sf | Year 16: $44.14/sf,Triple Net (NNN),$8.83/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,5,5,"Tenant has the right to extend the Term for 5 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a retail pharmacy and drug store, including the dispensing of prescription and over-the-counter pharmaceuticals, health and beauty aids, cosmetics, photo finishing, post office services, and ancillary convenience merchandise.",Broad — pre-2024,Tenant shall be the only retail pharmacy in the Shopping Centre. Landlord shall not lease any premises within the Shopping Centre to any other pharmacy or any business that fills prescriptions. FLAG: review for Competition Act compliance.,None,No co-tenancy provisions.,None,No radius restriction.,Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),Premises delivered in as-is condition. No tenant improvement allowance.,Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Shoppers Drug Mart or parent entity,Maxi,CHP-LEGAL/CHP-RET-1003/00005-Lease-and-Amendments.pdf,Legal Team,2024-05-18
CHP-LSE-00006,CHP-RET-1003,Montreal Power Centre,Retail,"6923 Boulevard Saint-Laurent, Montreal, QC",Montreal,QC,Anchor Premises,Metro Inc.,Metro Inc.,Grocery,Anchor,False,34793,Active,2024-12-20,2044-12-19,20,19.72,686117.96,57176.5,Stepped — 8-12% bump every 5 years,Year 6: $21.4/sf | Year 11: $23.41/sf | Year 16: $25.6/sf | Year 21: $28.31/sf,Modified Net — capped CAM,$8.56/sf (CAM cap: 4.55% YoY),"Tenant pays Realty Taxes and Insurance on a fully net basis. CAM (excluding Realty Taxes, Insurance and Utilities) is capped at a maximum increase of 4.55% per Lease Year on a cumulative basis after the first full Lease Year. Excluded from CAM: capital expenditures, structural repairs, roof replacement, and management fees in excess of 4% of CAM.",6.25% over natural breakpoint,"$10,978,000.00",6.25%,"Tenant shall pay percentage rent equal to 6.25% of Gross Sales in excess of the Breakpoint of $10,978,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Narrow — post-2024,"Landlord covenants that, for the first sixty (60) months of the Term, no other premises within the Shopping Centre (excluding any Pad and any premises of less than 4,000 sf) shall be leased to a full-service supermarket whose primary business is the sale of groceries. This restriction shall expire automatically on the fifth anniversary of the Commencement Date.",None,No co-tenancy provisions.,2 km radius restriction,Tenant shall not operate a competing grocery store within a 2 km radius of the Premises during the initial Term.,Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",Tenant termination at year 10,"Tenant has a one-time right to terminate the Lease effective on the 10th anniversary of the Commencement Date, on 12 months prior written notice and payment of a Termination Fee equal to 6 months Minimum Rent plus unamortized Landlord's Work and TI Allowance.","$35/sf — $1,217,755.00 total","Landlord shall provide a Tenant Improvement Allowance of $35 per square foot of GLA (totaling $1,217,755.00), payable in one lump sum upon Tenant opening for business and delivery of paid invoices and lien waivers.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Metro Inc. or parent entity,Maxi,CHP-LEGAL/CHP-RET-1003/00006-Lease-and-Amendments.pdf,AI-Auto-v3,2025-10-08
CHP-LSE-00007,CHP-RET-1003,Montreal Power Centre,Retail,"6923 Boulevard Saint-Laurent, Montreal, QC",Montreal,QC,Unit E12,Centennial Music Academy Inc.,Centennial Music Academy,Apparel,CRU,False,2839,Expired (holdover),2014-06-01,2019-05-31,5,39.15,111146.85,9262.24,Stepped — 8-12% bump every 5 years,Year 6: $43.63/sf,Triple Net (NNN),$11.4/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",6.58% over natural breakpoint,"$1,689,000.00",6.58%,"Tenant shall pay percentage rent equal to 6.58% of Gross Sales in excess of the Breakpoint of $1,689,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",2,5,"Tenant has 2 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.",Operation of a retail apparel and accessories store.,None,Tenant has no exclusivity rights under this Lease.,None,No co-tenancy provisions.,None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$35/sf — $99,365.00 total","Landlord shall provide a Tenant Improvement Allowance of $35 per square foot of GLA (totaling $99,365.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.","3 months (27,786.71)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($27,786.71), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Maxi,CHP-LEGAL/CHP-RET-1003/00007-Lease-and-Amendments.pdf,Legal Team,2025-10-19
CHP-LSE-00008,CHP-RET-1003,Montreal Power Centre,Retail,"6923 Boulevard Saint-Laurent, Montreal, QC",Montreal,QC,Anchor Premises,Fortinos,Fortinos,Grocery,Anchor,True,71314,Active,2021-07-07,2041-07-06,20,14.96,1066857.44,88904.79,Stepped — 7.7% increase every 5 years,Year 6: $16.11/sf | Year 11: $17.35/sf | Year 16: $18.69/sf | Year 21: $20.13/sf,Triple Net (NNN),$15.34/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",4.79% over natural breakpoint,"$22,273,000.00",4.79%,"Tenant shall pay percentage rent equal to 4.79% of Gross Sales in excess of the Breakpoint of $22,273,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",5,5,"Tenant has the right to extend the Term for 5 consecutive renewal periods of five (5) years each, on the same terms and conditions, except that Minimum Rent for each renewal shall increase by 7.7% over the prior period. Notice of renewal must be given not less than 12 months prior to expiry.","Operation of a full-service supermarket and ancillary uses customarily incidental thereto, including the sale of groceries, fresh produce, meat, bakery, deli, prepared foods, household goods, general merchandise, beer and wine where permitted by law, and a pharmacy.",Broad — pre-2024,"Landlord covenants that no other premises within the Shopping Centre, nor any lands within a one (1) kilometre radius of the Shopping Centre owned or controlled by Landlord or its affiliates, shall be used or occupied as a supermarket, grocery store, food market, butcher shop, fish market, fruit and vegetable market, bakery, or for the sale of groceries, produce or fresh meat as a primary use, for the duration of the Term and any renewal periods. FLAG: review for Competition Act compliance.",None,No co-tenancy provisions.,3 km radius restriction,"Tenant covenants that during the Term, neither Tenant nor any affiliate shall directly or indirectly operate, own, or have a financial interest in any other supermarket or grocery store within a 3 kilometre radius of the Premises (the 'Restricted Area'), provided that this restriction shall not apply to any store operating prior to the date hereof.",Permitted to affiliates / successors,"Tenant may assign or sublet without Landlord's consent to (i) any affiliate, parent or subsidiary, (ii) any successor by merger, amalgamation or reorganization, or (iii) any purchaser of all or substantially all of Tenant's assets in the Province. Any other assignment requires Landlord's consent, not to be unreasonably withheld.",None,No early termination rights other than for Landlord default or casualty/expropriation.,"$75/sf — $5,348,550.00 total","Landlord shall provide a Tenant Improvement Allowance of $75 per square foot of GLA (totaling $5,348,550.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.",Corporate covenant,No security deposit required given Tenant's investment-grade covenant.,Corporate covenant of Fortinos or parent entity,Maxi,CHP-LEGAL/CHP-RET-1003/00008-Lease-and-Amendments.pdf,AI-Auto-v3,2026-04-11
CHP-LSE-00009,CHP-RET-1003,Montreal Power Centre,Retail,"6923 Boulevard Saint-Laurent, Montreal, QC",Montreal,QC,Unit B08,Starbucks Inc.,Starbucks,Cafe,CRU,False,1027,Active,2023-03-17,2033-03-16,10,34.28,35205.56,2933.8,Stepped — 8-12% bump every 5 years,Year 6: $37.07/sf | Year 11: $40.14/sf,Triple Net (NNN),$11.83/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",4.48% over natural breakpoint,"$786,000.00",4.48%,"Tenant shall pay percentage rent equal to 4.48% of Gross Sales in excess of the Breakpoint of $786,000.00 per Lease Year. Gross Sales reports due quarterly; annual reconciliation within 90 days of fiscal year end. Landlord has audit rights with 30 days notice.",1,5,"Tenant has 1 option(s) to extend, each for a five (5) year term, at the greater of (i) FMR and (ii) the rent payable in the final year of the prior period. Notice required 9 months before expiry.","Operation of a specialty coffee shop and cafe, including the sale of espresso-based beverages, brewed coffee, tea, baked goods, light meals, and packaged coffee for off-premises consumption.",Limited,Tenant shall be the only premises in the Shopping Centre operating primarily as a cafe business for the first 36 months of the Term.,Opening,"If Maxi is not open and operating in the Shopping Centre on the Commencement Date, Tenant may delay opening and pay only 50% of Minimum Rent until the Anchor opens; if the Anchor has not opened within 12 months, Tenant may terminate.",None,No radius restriction.,"Consent required, not unreasonably withheld","Tenant shall not assign this Lease or sublet the Premises without Landlord's prior written consent, such consent not to be unreasonably withheld, conditioned, or delayed. Tenant shall remain liable under the Lease following any assignment. 50% of any net profit on assignment payable to Landlord.",None,No early termination rights other than for Landlord default or casualty/expropriation.,$0 (as-is),"Premises delivered in as-is, where-is condition. Tenant responsible for all leasehold improvements at its sole cost.","3 months (8,801.39)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($8,801.39), held without interest and applicable to the final months of the Term subject to no Tenant default.",Personal guarantee of principal(s) — limited to first 36 months of Term,Maxi,CHP-LEGAL/CHP-RET-1003/00009-Lease-and-Amendments.pdf,AI-Auto-v3,2025-01-16
CHP-LSE-00010,CHP-RET-1003,Montreal Power Centre,Retail,"6923 Boulevard Saint-Laurent, Montreal, QC",Montreal,QC,Unit E35,Rogers Inc.,Rogers,Telecom,CRU,False,3200,Active,2023-10-16,2030-10-15,7,33.18,106176.0,8848.0,Stepped — 8-12% bump every 5 years,Year 6: $36.12/sf,Triple Net (NNN),$9.79/sf,"Tenant pays its Proportionate Share of Realty Taxes, Insurance, CAM/Operating Costs and Utilities, payable monthly with annual reconciliation. Management fee included in CAM at 4% of gross CAM costs. Tenant has audit rights annually.",None,,,No percentage rent.,0,0,No renewal options.,"Operation of a retail telecommunications store, including the sale and activation of mobile devices, wireless plans, and accessories.",None,Tenant has no exclusivity rights under this Lease.,Opening,"If Maxi is not open and operating in the Shopping Centre on the Commencement Date, Tenant may delay opening and pay only 50% of Minimum Rent until the Anchor opens; if the Anchor has not opened within 12 months, Tenant may terminate.",None,No radius restriction.,Restricted,Any assignment or subletting requires Landlord's prior written consent in its sole and absolute discretion. Tenant remains liable for all obligations.,None,No early termination rights other than for Landlord default or casualty/expropriation.,"$65/sf — $208,000.00 total","Landlord shall provide a Tenant Improvement Allowance of $65 per square foot of GLA (totaling $208,000.00), payable in two installments — 50% upon completion of demising walls and 50% upon Tenant opening for business.","3 months (26,544.00)","Tenant shall deposit with Landlord on execution a Security Deposit equal to 3 months Minimum Rent ($26,544.00), held without interest and applicable to the final months of the Term subject to no Tenant default.",None,Maxi,CHP-LEGAL/CHP-RET-1003/00010-Lease-and-Amendments.pdf,Legal Team,2025-09-06
